Team,Location,Stadium,Capacity
Arsenal,London (Holloway),Emirates Stadium,60432,
Blackburn Rovers,Blackburn,Ewood Park,31367,
Bolton Wanderers,Bolton,Reebok Stadium,28723,
Chelsea,London (Fulham),Stamford Bridge,42055,
Everton,Liverpool (Walton),Goodison Park,40157,
Fulham,London (Fulham),Craven Cottage,26500,
Hull City,Kingston upon Hull,KC Stadium,25404,
Liverpool,Liverpool (Anfield),Anfield,45276[9],
Manchester City,Manchester,City of Manchester Stadium,47726,
Manchester United,Old Trafford,Old Trafford,76212,
Middlesbrough,Middlesbrough,Riverside Stadium,35100,
Newcastle United,Newcastle upon Tyne,St James' Park,52387,
Portsmouth,Portsmouth,Fratton Park,20224,
Stoke City,Stoke-on-Trent,Britannia Stadium,28000,
Sunderland,Sunderland,Stadium of Light,49000,
Tottenham Hotspur,London (Tottenham),White Hart Lane,36240,
West Bromwich Albion,West Bromwich,The Hawthorns,25369,
West Ham United,London (Upton Park),Upton Park,35303,
Wigan Athletic,Wigan,JJB Stadium,25138,
